subId,Q_HR,Q_LR
11,0.746307695658101,0.446614705563241
12,0.55805688126708,0.465023720410041
13,0.715480577446094,0.197258163088649
14,0.709795097899956,0.36859583204053
15,0.538191135791008,0.498403838735041
16,0.696039926233992,0.470038114619156
17,0.68373343667324,0.464190735702436
18,0.78281382227601,0.174045253149961
19,0.759189195066052,0.4161170812912
20,0.500912319865302,0.499650377778873
21,0.661882277785697,0.450709743668598
22,0.546604562623147,0.499928707259434
23,0.59915573852755,0.248369490635941
24,0.513268758050406,0.495461357998532
25,0.526477359340144,0.500069563909207
26,0.679962725943798,0.484541803546242
27,0.649099407926256,0.4225542952475
28,0.714937099909652,0.5
29,0.779134611539639,0.369739972341043
30,0.777232602596953,0.5
31,0.717018788601136,0.486617858789549
32,0.682485009731408,0.480628205933788
33,0.718079947952692,0.5
34,0.503362173131199,0.498137282323369
35,0.79137895459093,0.362398534868301
36,0.560212448760207,0.490193813744799
37,0.50133145876472,0.499132822210363
38,0.782650802919184,0.566950674593746
39,0.568703502136446,0.495448965127259
40,0.501322422399935,0.498992640339767
41,0.711190954230165,0.455017947701545
42,0.722918150780976,0.326804947766801
43,0.771563383589286,0.445100929369255
44,0.70386922119348,0.5
45,0.697002378563159,0.488165603062005
46,0.744023333088627,0.383304197093765
47,0.610447205876116,0.370744863442969
48,0.7404109376972,0.5
49,0.527925632568295,0.497048024959359
50,0.729820431608317,0.508168878762483
51,0.667694045115517,0.378821825580694
52,0.564036690934308,0.381298636641365
53,0.529094305129521,0.483292902971682
54,0.628245661826111,0.460874776490406
55,0.502960203689917,0.496764424943386
57,0.60349524547831,0.134400583728059
58,0.680412371134021,0.157216494845361
59,0.537684989515265,0.223994867821161
60,0.755952182678862,0.5
